wl(um)	n	k
1.025	0.23728	6.53E+00
1.026	0.23753	6.54E+00
1.027	0.23779	6.54E+00
1.028	0.23805	6.55E+00
1.029	0.23831	6.56E+00
1.03	0.23857	6.56E+00
1.031	0.23883	6.57E+00
1.032	0.23909	6.58E+00
1.033	0.23935	6.59E+00
1.034	0.23962	6.59E+00
1.035	0.23988	6.60E+00
1.036	0.24014	6.61E+00
1.037	0.2404	6.61E+00
1.038	0.24067	6.62E+00
1.039	0.24093	6.63E+00
1.04	0.24119	6.63E+00
1.041	0.24145	6.64E+00
1.042	0.24171	6.65E+00
1.043	0.24198	6.65E+00
1.044	0.24224	6.66E+00
1.045	0.2425	6.67E+00
1.046	0.24276	6.67E+00
1.047	0.24303	6.68E+00
1.048	0.24329	6.69E+00
1.049	0.24355	6.69E+00
1.05	0.24381	6.70E+00
1.051	0.24408	6.71E+00
1.052	0.24435	6.71E+00
1.053	0.24462	6.72E+00
1.054	0.24489	6.73E+00
1.055	0.24515	6.73E+00
1.056	0.24542	6.74E+00
1.057	0.24569	6.75E+00
1.058	0.24596	6.75E+00
1.059	0.24623	6.76E+00
1.06	0.24649	6.77E+00
1.061	0.24676	6.77E+00
1.062	0.24703	6.78E+00
1.063	0.2473	6.79E+00
1.064	0.24757	6.79E+00
1.065	0.24783	6.80E+00
1.066	0.2481	6.81E+00
1.067	0.24837	6.82E+00
1.068	0.24864	6.82E+00
1.069	0.24891	6.83E+00
1.07	0.24917	6.84E+00
1.071	0.24944	6.84E+00
1.072	0.24971	6.85E+00
1.073	0.24999	6.86E+00
1.074	0.25026	6.86E+00
1.075	0.25054	6.87E+00
1.076	0.25081	6.88E+00
1.077	0.25108	6.88E+00
1.078	0.25136	6.89E+00
1.079	0.25163	6.90E+00
1.08	0.25191	6.90E+00
1.081	0.25218	6.91E+00
1.082	0.25245	6.92E+00
1.083	0.25273	6.92E+00
1.084	0.253	6.93E+00
1.085	0.25328	6.94E+00
1.086	0.25355	6.94E+00
